"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Cereal Flours",21102,"Vegetable Products",2,4972541,2019
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Cereal Meal and Pellets",21103,"Vegetable Products",2,718846,2019
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Processed Cereals",21104,"Vegetable Products",2,3744745,2019
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Potato Flours",21105,"Vegetable Products",2,52317.99999999999,2019
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Legume Flours",21106,"Vegetable Products",2,549352,2019
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Malt",21107,"Vegetable Products",2,1202730,2019
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Starches",21108,"Vegetable Products",2,7594106,2019
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Wheat Gluten",21109,"Vegetable Products",2,81787,2019
"Oil seeds and oleaginous fruits",212,"Soybeans",21201,"Vegetable Products",2,30814,2019
"Oil seeds and oleaginous fruits",212,"Ground Nuts",21202,"Vegetable Products",2,93365,2019
"Oil seeds and oleaginous fruits",212,"Copra",21203,"Vegetable Products",2,96,2019
"Oil seeds and oleaginous fruits",212,"Linseed",21204,"Vegetable Products",2,582171,2019
"Oil seeds and oleaginous fruits",212,"Rapeseed",21205,"Vegetable Products",2,5370818,2019
"Oil seeds and oleaginous fruits",212,"Sunflower Seeds",21206,"Vegetable Products",2,20633,2019
"Oil seeds and oleaginous fruits",212,"Other Oily Seeds",21207,"Vegetable Products",2,2576024,2019
"Oil seeds and oleaginous fruits",212,"Oil Seed Flower",21208,"Vegetable Products",2,137162,2019
"Oil seeds and oleaginous fruits",212,"Sowing Seeds",21209,"Vegetable Products",2,159041553,2019
"Oil seeds and oleaginous fruits",212,"Hops",21210,"Vegetable Products",2,21872605,2019
"Oil seeds and oleaginous fruits",212,"Perfume Plants",21211,"Vegetable Products",2,2766950,2019
"Oil seeds and oleaginous fruits",212,"Locust beans, seaweed, sugar beet, cane, for food",21212,"Vegetable Products",2,5331124,2019
"Oil seeds and oleaginous fruits",212,"Cereal Straws",21213,"Vegetable Products",2,16471,2019
"Oil seeds and oleaginous fruits",212,"Forage Crops",21214,"Vegetable Products",2,6977351,2019
"Lac; gums, resins and other vegetable saps and extracts",213,"Insect Resins",21301,"Vegetable Products",2,6181,2019
"Lac; gums, resins and other vegetable saps and extracts",213,"Vegetable Saps",21302,"Vegetable Products",2,5403803,2019
"Vegetable plaiting materials",214,"Vegetable Plaiting Materials",21401,"Vegetable Products",2,17505,2019
"Vegetable plaiting materials",214,"Other Vegetable Products",21404,"Vegetable Products",2,2355759,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Pig and Poultry Fat",31501,"Animal and Vegetable Bi-Products",3,15054.999999999998,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Bovine, Sheep, and Goat Fat",31502,"Animal and Vegetable Bi-Products",3,65083677,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Lard",31503,"Animal and Vegetable Bi-Products",3,180858,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Fish Oil",31504,"Animal and Vegetable Bi-Products",3,12635034,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Wool Grease",31505,"Animal and Vegetable Bi-Products",3,5933178,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Other Animal Fats",31506,"Animal and Vegetable Bi-Products",3,17143611,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Soybean Oil",31507,"Animal and Vegetable Bi-Products",3,109495,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Ground Nut Oil",31508,"Animal and Vegetable Bi-Products",3,135541,2019
