"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","HS6 ID","HS6","Trade Value"
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",1030799,"Aquatic invertebrates nes, frozen or preserved",3753821
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",1040110,"Milk not concentrated nor sweetened < 1% fat",230539
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",1040120,"Milk not concentrated nor sweetened 1-6% fat",1287293.9999999998
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",1040130,"Milk and cream not concentrated nor sweetened < 6% fa",190233
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",1040210,"Milk powder < 1.5% fat",923713
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",1040221,"Milk and cream powder unsweetened < 1.5% fat",996094
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",1040229,"Milk and cream powder sweetened < 1.5% fat",108993
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",1040291,"Milk and cream unsweetened, concentrated",2878919
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",1040299,"Milk and cream nes sweetened or concentrated",8211014
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",1040310,"Yogurt",2309329
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",1040390,"Buttermilk, curdled milk, cream, kephir, etc.",107177
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",1040410,"Whey",2232853
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",1040490,"Natural milk products nes",3199028
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",1040500,"Butter and other fats and oils derived from milk",3762461.9999999995
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",1040610,"Fresh cheese, unfermented whey cheese, curd",3746043.9999999995
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",1040620,"Cheese, grated or powdered, of all kinds",5242642
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",1040630,"Cheese processed, not grated or powdered",6120428
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",1040640,"Cheese, blue-veined",197587
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",1040690,"Cheese except fresh, grated, processed or blue-veined",10563319
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",1040700,"Birds eggs, in shell, fresh, preserved or cooked",4686156
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",1040811,"Egg yolks dried",1138815
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",1040819,"Egg yolks except dried",9000
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",1040891,"Eggs, bird, not in shell, dried",662233
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",1040899,"Eggs, bird, not in shell not dried",1539623
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",1040900,"Honey, natural",1195857
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10410,"Other Edible Animal Products",1041000,"Edible products of animal origin nes",328880
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10504,"Animal Organs",1050400,"Guts, bladders and stomachs of animals except fish",1071740
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10505,"Bird Feathers and Skins",1050510,"Feathers and down used for stuffing",21303
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10505,"Bird Feathers and Skins",1050590,"Feathers, down, etc. of birds, except for stuffing",11400
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10508,"Coral and Shells",1050800,"Coral,seashell,cuttle bone,etc, unworked,powder,waste",16650
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10510,"Pharmaceutical Animal Products",1051000,"Ambergris, civet, musk, etc for pharmaceutical use",419766
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10511,"Other Inedible Animal Products",1051110,"Semen bovine",1445238
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10511,"Other Inedible Animal Products",1051191,"Fish, shellfish and crustaceans (non-food)",364051
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10511,"Other Inedible Animal Products",1051199,"Animal products and domestic animal carcass (non-food",668710
2,"Vegetable Products",206,"Trees and other live plants",20601,"Bulbs and Roots",2060110,"Bulbs, tubers, corms, crowns and rhizomes, dormant",7108849.999999999
2,"Vegetable Products",206,"Trees and other live plants",20601,"Bulbs and Roots",2060120,"Bulbs, tubers, corms etc in growth, chicory plants",671564
2,"Vegetable Products",206,"Trees and other live plants",20602,"Other Live Plants",2060210,"Cuttings and slips, not rooted",347460
2,"Vegetable Products",206,"Trees and other live plants",20602,"Other Live Plants",2060220,"Trees, edible fruit or nut, shrubs and bushes",556760
2,"Vegetable Products",206,"Trees and other live plants",20602,"Other Live Plants",2060240,"Roses",31266
2,"Vegetable Products",206,"Trees and other live plants",20602,"Other Live Plants",2060299,"Plants, live (including their roots),nes",1956528
2,"Vegetable Products",206,"Trees and other live plants",20603,"Cut Flowers",2060310,"Cut flowers and flower buds for bouquets, etc., fresh",423690
2,"Vegetable Products",206,"Trees and other live plants",20603,"Cut Flowers",2060390,"Cut flowers and flower buds for bouquets, dried, etc.",42452
2,"Vegetable Products",206,"Trees and other live plants",20604,"Foliage",2060491,"Foliage,branches, for bouquets, etc. - fresh",32768
2,"Vegetable Products",206,"Trees and other live plants",20604,"Foliage",2060499,"Foliage,branches, for bouquets, etc. - except fresh",108218
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20701,"Potatoes",2070190,"Potatoes, fresh or chilled except seed",1658986
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20702,"Tomatoes",2070200,"Tomatoes, fresh or chilled",189349.00000000003
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",2070310,"Onions and shallots, fresh or chilled",776739
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",2070320,"Garlic, fresh or chilled",5428859.999999999
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20704,"Cabbages",2070410,"Cauliflowers and headed broccoli, fresh or chilled",15938
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20704,"Cabbages",2070490,"Edible brassicas nes, fresh or chilled",98804.00000000001
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20705,"Lettuce",2070511,"Cabbage lettuce (head lettuce) fresh or chilled",408587
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",2070610,"Carrots and turnips, fresh or chilled",143404
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",2070690,"Beetroot,salsify,celeriac,radishes etc. fresh, chille",9052
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20707,"Cucumbers",2070700,"Cucumbers and gherkins, fresh or chilled",209428
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20708,"Legumes",2070810,"Peas, shelled or unshelled, fresh or chilled",36878
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20708,"Legumes",2070820,"Beans, shelled or unshelled, fresh or chilled",93087
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20708,"Legumes",2070890,"Legumes except peas & beans, fresh or chilled",5436
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",2070920,"Asparagus, fresh or chilled",356236.99999999994
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",2070940,"Celery, other than celeriac, fresh or chilled",22.000000000000004
